ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
040086000,313000,36586042,1104,GRADY AVE,,LOT E & PT 13-16 BK 8 PRES HGT,6969.6
040033000,351000,36586043,1021,GRADY AVE,,LOT JOHN WEST LOTS,4530.24
040104000,276300,36586044,502,13TH ST NW,,LOTS 21&22 BK 9 PRESTON HGTS,6490.44
040085000,228500,36586045,423,11TH ST NW,,LOTS 1 & 2 BK 8 PRESTON HGTS,5314.32
040118000,10286000,36586046,406,14TH ST NW,,"LOTS 1-26,49,50,103,104 BK 5",172497.6
040095000,207700,36586047,507,12TH ST NW,,LOTS 7&8 BK 9 PRESTON HGTS,6490.44
040088000,217100,36586048,506,12TH ST NW,,LOTS 17&18 BK 8 PRESTON HGTS,6490.44
040043000,315600,36586049,507,10TH ST NW,,PT LOT 8 JOHN WEST LOTS,8624.88
040105000,293300,36586050,1219,GORDON AVE,,LOTS 23 & 24 BK 9 PRESTON HEIGHTS,6490.44
040084000,83100,36586051,0,11TH ST NW,,LOTS 3 & 4 BK 8 PRESTON HGTS,5401.44
040094000,227900,36586052,505,12TH ST NW,,LOTS 9&10 BK 9 PRESTON HGTS,6490.44
040073000,269300,36586053,1034,GRADY AVE,,LOT 14 1/2 JOHN WEST LOTS,7056.72
040045000,61100,36586054,503,10TH ST NW,,PT LOT 7 JOHN WEST LOTS,14810.4
040089000,276000,36586055,504,12TH ST NW,,LOTS 19 & 20 BK 8 PRESTON HGTS,6490.44
040072000,261000,36586056,1030,GRADY AVE,,LOT 14 JOHN WEST LOTS,6926.04
040083000,496100,36586057,515,11TH ST NW,,LOTS 5&6 BK 8 PRESTON HGTS,5575.68
040093000,154900,36586058,503,12TH ST NW,,LOT 11 BK 9 PRESTON HEIGHTS,0
040071000,420100,36586059,1026,GRADY AVE,,LOT 13 JOHN WEST LOTS,7840.8
040090000,152100,36586060,502,12TH ST NW,,LOTS 21&22 BK 8 PRESTON HGTS,6490.44
040092000,216500,36586061,501,12TH ST NW,,LOT 12 BK 9 PRESTON HEIGHTS,0
040070000,308000,36586062,1022,GRADY AVE,,LOT B JOHN WEST LOTS,4530.24
040082000,257400,36586063,513,11TH ST NW,,LOTS 7&8 BK 8 PRESTON HGTS,5706.36
040049000,203400,36586064,1016,GRADY AVE,,LOT 1,2439.36
040091000,280700,36586065,500,12TH ST NW,,LOTS 23&24 BK 8 PRESTON HGTS,6490.44
040048000,289600,36586066,1014,GRADY AVE,,LOT 3,3615.48
040081000,233400,36586067,405,11TH ST NW,,LOTS 9&10 BK 8 PRESTON HGTS,5837.04
040074000,232300,36586068,408,11TH ST NW,,PT LOT 11 JOHN WEST LOTS,5401.44
040134000,368400,36586069,1201,GORDON AVE,,PT LOTS 1 & 2 BK 6 PRESTON HGT,3267
040069000,41800,36586070,0,10 1/2 ST NW,,LOT A JOHN WEST LOTS,2700.72
040047000,448700,36586071,1002,GRADY AVE,,LOT 4,3746.16
040050000,144800,36586072,420,10 1/2 ST NW,,LOT 2,1306.8
040046000,331800,36586073,415,10TH ST NW,,PARCEL D JOHN WEST LOTS,8189.28
040135000,362800,36586074,1200,GORDON AVE,,PT LOTS 1 & 2 BK 6 PRESTON HGT,3267
040068000,238200,36586075,421,10 1/2 ST NW,,PT LOT 11 JOHN WEST LOTS,5445
040080000,232100,36586076,1101,GORDON AVE,,LOTS 11&12 BK 8 PRESTON HGTS,5967.72
040051000,103300,36586077,0,10 1/2 ST NW,,PT LOT 4 JOHN WEST LOTS,9060.48
040075000,254200,36586078,516,11TH ST NW,,PT LOT 10 JOHN WEST LOTS,5445
040136000,328500,36586079,417,12TH ST NW,,LOT 3 BK 6 PRESTON HEIGHTS,348.48
040143000,162200,36586080,1114,GORDON AVE,,PT LOTS 14-17 BK 7 PRESTON HGT,4094.64
040052000,224000,36586081,416,10TH ST NW,,PT LOT 4 JOHN WEST LOTS,12893.76
040067000,535700,36586082,413,10 1/2 ST NW,,PT LOT 10 JOHN WEST LOTS,5445
040076000,533400,36586083,514,11TH ST NW,,PT LOT 9 JOHN WEST LOTS,6534
040144000,375900,36586084,1112,GORDON AVE,,PT LOTS 14-17 BK 7 PRESTON HGT,0
040145000,371500,36586085,1110,GORDON AVE,,PT LOTS 14-17 BK 7 PRESTON HGT,0
040138000,373300,36586086,407,12TH ST NW,,LOTS 6&7 BK 6 PRESTON HEIGHTS,6490.44
040066000,220300,36586087,507,10 1/2 ST NW,,PT LOT 9 JOHN WEST LOTS,6577.56
040146000,196900,36586088,1100,GORDON AVE,,LOTS 1&2 BK 7 PRESTON HEIGHTS,6229.08
040054000,213500,36586089,414,10 1/2 ST NW,,LOTS A & B JOHN WEST LOTS,8232.84
040077000,197500,36586090,504,11TH ST NW,,LOT,4617.36
040142000,371500,36586091,406-410,12TH ST NW,,"LOTS 18,19&PT 17,20 BK 7 P HGT",0
040139000,248900,36586092,405,12TH ST NW,,REV LOT 8 BK 6 PRESTON HEIGHTS,43560
040053000,169000,36586093,418,10TH ST NW,,PT LOT 3 JOHN WEST LOTS,11107.8
040078000,312800,36586094,502,11TH ST NW,,LOT,4922.28
040065000,210200,36586095,504,10 1/2 ST NW,,LOT,4617.36
040147000,365600,36586096,363,11TH ST NW,,LOT 3 & PT 4 BK 7 PRESTON HGTS,5880.6
040056000,41800,36586097,412,10 1/2 ST NW,,PT LOT 2 JOHN WEST LOTS,2700.72
040139100,244800,36586098,403,12TH ST NW,,REV LOT 10 BK 6 PRESTON HEIGHTS,43560
040055000,186400,36586099,414,10TH ST NW,,PT LOT 2 JOHN WEST LOTS,0
040079000,83100,36586100,0,11TH ST NW,,LOT,7753.68
040064000,178100,36586101,502,10 1/2 ST NW,,LOT,3789.72
040148000,91600,36586102,357,11TH ST NW,,"LOTS 5,6,PT 4&7 BK 7 PRES HGTS",9408.96
040141000,157300,36586103,1,LATROBE CT,,LOT A LATROBE COURT,3223.44
040140000,226300,36586104,401,12TH ST NW,,LOTS 11-13 & PAR Y BK 6 PRESTON HEIGHT,10541.52
040057000,238100,36586105,406,10 1/2 ST NW,,LOT JOHN WEST LOTS,3484.8
040120000,15190000,36586106,409,13TH ST NW,,"LOTS 4, 51-55, 94-102",0
040141100,157300,36586107,2,LATROBE CT,,LOT B LATROBE COURT,2308.68
040122000,479000,36586108,362,14TH ST NW,,LOTS 54&55 TRADERS LAND CO,6141.96
040063000,265500,36586109,500,10 1/2 ST NW,,LOT,5924.16
040141200,158300,36586110,3,LATROBE CT,,LOT C LATROBE COURT,2570.04
040132000,1584100,36586111,0,JOHN ST,,LOTS BK 5,136909.08
040058000,200500,36586112,404,10 1/2 ST NW,,LOT JOHN WEST LOTS,3659.04
040059000,117200,36586113,403,10TH ST NW,,LOT JOHN WEST LOTS,11369.16
040149000,170100,36586114,353,11TH ST NW,,LOT 8 & PT 7&9 BK 7 PRES HGTS,6664.68
040165000,290900,36586115,430,11TH ST NW,,LOTS 15 & 16 JEFFRIES LOTS,7840.8
040123000,520600,36586116,360,14TH ST NW,,LOTS 56&57 TRADERS LAND CO,7492.32
040061000,150300,36586117,402,10 1/2 ST NW,,LOT JOHN WEST LOTS,3528.36
040141300,157300,36586118,6,LATROBE CT,,LOT D LATROBE COURT,3223.44
040141400,157400,36586119,5,LATROBE CT,,LOT E LATROBE COURT,2395.8
040062000,226900,36586120,400,10 1/2 ST NW,,PT LOT 1 JOHN WEST LOTS,3528.36
040150000,216200,36586121,351,11TH ST NW,,LOT 10 & PT 9&11 BK 7 PRES HGT,5619.24
040166000,191600,36586122,359,10 1/2 ST NW,,LOT 14 JEFFRIES LOTS,4922.28
040060000,103300,36586123,401,10TH ST NW,,PARCEL C JOHN WEST LOTS,11194.92
040141500,157400,36586124,4,LATROBE CT,,LOT F LATROBE COURT,2700.72
040125000,519500,36586125,358,14TH ST NW,,LOTS 58 & 59,7492.32
040164000,179400,36586126,354,11TH ST NW,,LOT 17 JEFFRIES LOTS,3833.28
040167000,65900,36586127,357,10 1/2 ST NW,,LOT 13 JEFFRIES LOTS,4791.6
040151000,189500,36586128,345,11TH ST NW,,"LOTS 12,13&PT 11 BK 7 PRES HGT",0
040126000,390000,36586129,354,14TH ST NW,,LOT 1,5009.4
040163000,128700,36586130,346,11TH ST NW,,LOT 18 JEFFRIES LOTS,3833.28
040168000,114700,36586131,353,10 1/2 ST NW,,LOT 12 JEFFRIES LOTS,4704.48
040152000,980800,36586132,341,11TH ST NW,,LOTS 12-16,26528.04
040128000,393600,36586133,1311,JOHN ST,,LOT 2,4486.68
040127000,413500,36586134,350,14TH ST NW,,LOT 6,5009.4
040162000,131500,36586135,342,11TH ST NW,,LOT 19 JEFFRIES LOTS,3833.28
