X,Y,OBJECTID,TYPE,NOTES
-78.4786164046511,38.0298136917297,1,1 Staples,2 Bikes
-78.478207959317,38.0300556605614,2,3 Staples,6 Bikes
-78.4837211830659,38.0307861510599,3,3 Staple ,6 Bikes
-78.4800493583424,38.0301044451826,4,3 Staples,6 Bikes
-78.4772420086308,38.0295723463486,5,2 Staple,4 Bikes
-78.4978858983416,38.0323502818181,6,,
-78.5033400972472,38.0510297255532,7,,
-78.4887371566513,38.0309502754523,8,Comb Rack (24),8 Bikes
-78.4917444789365,38.031587856074,9,,
-78.5009303217025,38.0354315566393,10,,
-78.4983725402309,38.0335256275183,11,,
-78.4962923499818,38.0328155233641,12,Paperclip,
-78.4913871855803,38.031912951232,13,Paperclip,4 Bikes
-78.4744919582227,38.0289438092774,14,,
-78.4899609280233,38.038634644272,15,,
-78.4717894307433,38.0320054757332,16,,
-78.5023574495957,38.0486533855025,17,,
-78.4805534471114,38.0295458000219,18,Comb Rack (4 Lines),6 Bikes
-78.4963728835699,38.0301840983803,19,,
-78.5049707227049,38.0363734526606,20,,
-78.5059448958373,38.0349048273685,21,,
-78.5056563067097,38.0343300239447,22,,
-78.5082263791962,38.0332472687373,23,,
-78.5078305505935,38.0328056031011,24,,
-78.5066286044728,38.0329155154756,25,,
-78.5065131319173,38.033292161621,26,,
-78.5060082457109,38.0330377173613,27,,
-78.5046860350245,38.0326576219296,28,,
-78.50452142781,38.032464585249,29,,
-78.5032372889766,38.0329788683513,30,,
-78.501960686874,38.0342785997421,31,,
-78.5012108411214,38.0341814292232,32,,
-78.5012417086894,38.0358272723416,33,,
-78.5035957117158,38.0314971771197,34,,
-78.5021424047231,38.0319537054443,35,,
-78.5020765508342,38.0308691502977,36,,
-78.5012231799816,38.0307968327086,37,,
-78.5007610029903,38.0313015221748,38,,
-78.4992464538781,38.0305381642745,39,,
-78.4982453746988,38.031789556566,40,,
-78.5048061245034,38.0321456823775,41,,
-78.5053989016633,38.0328352298228,42,,
-78.509708675937,38.0339556497152,43,,
-78.510795147158,38.0342223839858,44,,
-78.50938639407,38.035384000601,45,,
-78.5106384481061,38.0358167178624,46,,
-78.5118932812538,38.0361682503172,47,,
-78.5121831172989,38.0346850590358,48,,
-78.5117087715402,38.0345395966675,49,,
-78.5114219365168,38.0339107109731,50,,
-78.5103391327044,38.0335357626708,51,,
-78.5105239139764,38.0331334866919,52,,
-78.5108751839249,38.0328701423458,53,,
-78.5110248305655,38.0324942301839,54,,
-78.5132463929634,38.0346263189306,55,,
-78.5125362196757,38.0343675863588,56,,
-78.5141251084959,38.0329389459235,57,,
-78.5146043746348,38.0339510045671,58,,
-78.5148109331092,38.0349302256004,59,,
-78.5148930658935,38.0345257589702,60,,
-78.5156328921816,38.0349205098084,61,,
-78.517274611437,38.0339533115354,62,,
-78.5164001493397,38.0345034836459,63,,
-78.5171624423239,38.0332198193851,64,,
-78.5163591771057,38.0336902375982,65,,
-78.5156584944173,38.0341628611556,66,,
-78.514848078638,38.0328188584522,67,,
-78.5151177236043,38.0319309638771,68,,
-78.5156601383046,38.0310759024233,69,,
-78.5163005748152,38.030358316673,70,,
-78.5169104242006,38.0295317706616,71,,
-78.5178190542253,38.0289823026446,72,,
-78.5191791488562,38.0292547414181,73,,
-78.5190897059064,38.0298756795156,74,,
-78.5191695190555,38.03055433853,75,,
-78.5198007893455,38.0301073253553,76,,
-78.5199266885909,38.0304349286434,77,,
-78.507026631441,38.0383396936434,78,,
-78.5066964456921,38.0379806478483,79,,
-78.5089432502282,38.0444188905641,80,,
-78.5097271416423,38.0435148260473,81,,
-78.5074747711834,38.0443065163552,82,,
-78.5092595207496,38.0512494202073,83,,
-78.508689506147,38.0498833976613,84,,
-78.509704002503,38.0532897495047,85,,
-78.5080364453348,38.0529835881748,86,,
-78.5035815586875,38.0389705715774,87,,
-78.4989051709277,38.0342705925893,88,,
-78.4841956422964,38.0533439351744,89,,
-78.4829151136748,38.0522899660597,90,,
-78.4912700773964,38.0402250277517,91,,
-78.4758565707514,38.0529779030828,92,,
-78.4967376657836,38.0385210360028,93,,
-78.4864597493151,38.0395305047895,94,,
-78.5067178313917,38.0225296393263,95,,
-78.5041459709576,38.0145489644706,96,,
-78.4624300947873,38.0354637478875,97,,
-78.4707888697536,38.0634538539208,98,,
-78.4801458929775,38.0301373321718,99,3 Staples,6 Bikes
-78.4802754499107,38.031408809255,100,Art In Place,8 Bikes
-78.4771300402739,38.0289843907865,101,6 Staples,12 Bikes
-78.4986727407112,38.0396728205574,102,,
-78.5085937882476,38.0416149428491,103,,
-78.5142649242297,38.0184443535241,104,,
-78.4659188523522,38.027916735348,105,,
-78.4965542730571,38.0249861015523,106,,
-78.486609616944,38.0330671863293,107,,
-78.4828046343709,38.0353134932508,108,,
-78.4840045868739,38.0349676657763,109,,
-78.5009145779109,38.0500943814227,110,,
-78.4739318931448,38.0306229722337,111,,
-78.4871313618016,38.0628393322686,112,,
-78.4758035744108,38.0296996360328,113,Wave Rack,7
-78.487016041285,38.0305593186797,114,Wave Rack,5 Bikes
-78.4744805811462,38.022820098459,115,,
-78.4975269366421,38.032932369673,116,,
-78.4976828255213,38.0327108264216,117,,
-78.4708165672173,38.0172189799004,118,,
-78.5005664022781,38.034975583085,120,,
-78.4769895147073,38.0296958160983,121,2 Staple,4 Bikes
-78.4786711160117,38.0295599073189,122,2 Staple,4 Bikes
-78.4791976686524,38.0300121676469,123,1 Staple,2 Bikes
-78.4806440033792,38.0308368248251,124,3 Staples,6 Bikes
